id,date,jev_domain,jev_domain_name,jev_depth,jev_is_substantive,jev_has_rule,is_mental_model,is_featured,likes,retweets,replies,views,text,images_count,local_images,url
2083903210121515343,2026-08-02 13:10:16,us_stocks_tech,美股半导体,2.58,0.94,0.05,🧠 核心思维,⭐ JEV精选,245,12,124,86127,"今天跟朋友聊到这轮Crypto抄底该抄什么beta标的，朋友说他在抄MSTR，而在这一点上我们并没有达成共识。

朋友的逻辑是这轮MSTR的市值已经跌破其持有的BTC的价值（nav），现在大概是7折左右，他认为到了下轮牛市高点，这个折扣会消失，变成溢价。

我觉得上轮周期大家普遍把MSTR当作“杠杆BTC”在买，牛市中MSTR有融资能力去持续购买BTC，这个“融资能力”就是其市值对应Nav溢价的来源，在2024年高点时，市值/nav的溢价甚至达到了4倍。

而近期MSTR开始卖币，显然是Saylor也意识到了，这个“持续买买买”的模型是长期跑不通的，因为最终还是要拿钱出来还给债主利息，如果牛市一直在高位追高给全市场抬轿子，那么到了熊市市值跌破nav“丧失融资能力后”，就会被迫低位出手btc去还利息，这就成了高买低卖了。

所以Saylor的方案是什么？在近期Q2的财报中，他说会在未来去参考更多指标去判断周期高低点去做买卖决策。也就意味着，这轮MSTR已经从一家财库公司转变成了“带杠杆的基金公司”。

所以如果MSTR已经变成了一家基金公司，凭什么牛市中市场还会给他这么高的nav溢价？尤其是mstr在过去的每一笔交易中几乎都展示出了极差的建仓判断和极高的磨损成本。

你投MSTR就像你投了一家炒btc的基金公司，这个基金管理人在交易操作中菜的抠脚，且他的所有买卖行为和杠杆都被全市场所关注（意味着买的时候全市场都会尝试抢跑他们，砸的时候全市场都在等它先砸完），那么它凭什么享有很高的溢价？

当然，我认为目前mstr 7折的折扣在牛市中大概率也会被抹平，但与其去投这样一家“基金公司”去帮我炒btc，我可能更愿意相信我自己。",0,,https://x.com/Michael_Liu93/status/2083903210121515343
2065307748611592676,2026-06-12 05:38:33,mindset_risk,交易心法,2.38,0.95,0.13,🧠 核心思维,⭐ JEV精选,210,21,42,75618,"最近有不少朋友来问我为什么跟crcl杠上了，AI这么火为什么不去追AI？

其实不是跟Crcl杠上了，AI标的和其他山寨币我都在玩，但是在做短线交易，我不可能开个单就发个帖子。

最近我在想的一个问题：如果让我挑一批可以长拿并且现在可以建仓的标的，有哪些要求？符合这些要求的标的有哪些？

想了想，我对于建仓长拿标的的要求是：
1. 持仓周期是至少放心拿3-5年（这个“放心”很重要，因为我自己要足够懂它的周期，或者它自身已经有足够长的时间证明自己，比如qqq）
2. 标的在一个快速增长的市场里，有至少5-10年的可预见增长（有足够的成长股安全垫），且有足够好的护城河
3. 现在价格相对低价（因为如果是长拿就不怕等建仓机会，短线则无所谓，今天追了，下周平了我也无所谓什么估值高低，主要还是看情绪）

在我的认知里（有分歧很正常）：
盘一盘哪些明显不符合以上要求？哪些有些符合？哪些全都符合？还有哪些是我不确定的？

首先明显不符合的：几乎所有中概股，A股，黄金白银贵金属（年初就已经看顶），山寨币（包括eth，eth比较适合做周期波段交易）

符合1和2要求的标的：Apple，Nvda，Google，QQQ，OEF

符合123要求的标的：涉及到3就一定不会是AI相关的标的，而在Crypto赛道，BTC，Crcl（其实我也想把Hype加进去，但严格按这个标准来说，还不是）

那些我不确定的：
存储股：三星，海力士，SNDK，MU。不符合3，符合2，不确定符不符合1
Mag7的其他家：微软，Meta，Tesla，我不那么确定
消费类的价值股：符合1和3，不符合2
AI产业链更细分的就更不在我的开枪范围了，因为我不够懂，比如光通信的Lumentum，Coherent，Nokia，芯片的Marvell，博通，这些跟着qqq的波动做做短线得了，让我重仓梭进去追高我也拿不住，更不会知道什么时候该止损。

现在是crypto每四年一次的播种季，麻将固然好玩，但不能误了农时，不然明年这个时候又要愁下一把麻将钱去哪找了。",0,,https://x.com/Michael_Liu93/status/2065307748611592676
2067162038552694865,2026-06-17 08:26:50,macro_cycle,宏观周期,2.37,0.96,0.01,🧠 核心思维,⭐ JEV精选,0,0,0,0,"都说被锁在外面的几十亿人才是代币化股票的真实市场。

阿根廷人想买SPY，尼日利亚人想买NVDA，土耳其人想持有美元资产，中国人想配置海外资产。美国vc问“谁会买tokenized stocks”，其实是在问“为什么不用Robinhood”。

可这几十亿人压根没法用robinhood

我觉得这个结论是对的，但是只对一半

他们很多时候要的其实是美元，股票只是个顺手能买到的壳。

过去几年真正爆的是稳定币和链上国债，股票这层一直不温不火。

但这反而让我越想越在意另一件事。

2009年crypto的梦是绕开银行、绕开美元、绕开华尔街、绕开主权。2026年最成功的crypto产品，清一色在帮全球更多人持有美国资产。

很多人管这叫tradfi上链，但真正在发生的，是crypto变成了美元体系的新分销渠道。

最骚的是美国现在不拦了，反手给稳定币立法开绿灯。因为华盛顿想明白了，链上美元和链上国债是它最好的出口渠道，铺进了资本管制和银行进不去的地方。当年想干掉帝国的那套去中心化轨道，成了帝国最高效的运货车。

所以哪天几十亿人是通过钱包、不是券商进入美国资本市场。

这到底算crypto赢了，还是美元赢了？

我倾向后者，但也可能我太悲观。",0,,https://x.com/Michael_Liu93/status/2067162038552694865
2071440177621561628,2026-06-29 03:46:38,mindset_risk,交易心法,2.23,0.94,0.53,🧠 核心思维,⭐ JEV精选,78,8,2,12702,现在就是把做空键抠掉，然后根据你对底部的判断，去计划抄底时间表的时候。比如你看最低到5w，那就6w、5w、分别抄1/3，然后留1/3到万一跌到4w抄，就算跌不到4w，这部分资金也可以灵活配置，到时候牛初启动了追涨也行。周期底部的时候最忌讳的就是觉得自己能完美判断底，一点容错空间不给自己留的。,0,,https://x.com/Michael_Liu93/status/2071440177621561628
2033738181137600839,2026-03-17 02:52:22,mindset_risk,交易心法,2.12,0.93,0.85,🧠 核心思维,⭐ JEV精选,131,7,38,212681,正好前几天有小伙伴问我怎么看CRCL，就拿这个方法来看大区间的交易机会，走势已经出higher high了，跌了半年多的趋势开始逆转了，你要想进就等个higher low再进，赌不会出lower low，如果出了就止损跑 https://t.co/FqiTp4VV8K,1,images/2033738181137600839_0.jpg,https://x.com/Michael_Liu93/status/2033738181137600839
2083230993058848781,2026-07-31 16:39:07,macro_cycle,宏观周期,2.09,0.94,0.11,🧠 核心思维,⭐ JEV精选,137,8,22,149598,刚又把早上出掉的存储仓位捡回来一些，这次仓位开了不到昨天的一半。逻辑是，我的判断是这个位置虽然没昨天博反弹的交易setup这么清晰，但如果昨天是阶段大底的观点不变（利空出尽，悬着的财报季和fomc均已落地，最大的多头杠杆清掉，市场情绪出现拐点），一天40%的反弹，开盘回调十几个点让获利盘和套,0,,https://x.com/Michael_Liu93/status/2083230993058848781
1995495034444210664,2025-12-01 14:07:45,altcoin_trading,二级山寨,2.09,0.94,0.87,🧠 核心思维,⭐ JEV精选,114,11,12,16381,"围绕着这些确定因子，就可以推导出行为了，比如：
1. 空投不卖我不买
2. 投资人开始解锁的币我只空
3. 高开大概率空，低开看看有没有机会买
4. 没新预期的项目不玩（因为没新预期做市商就没吸引散户当退出流动性的钩子，也就不会拉盘）
5.",0,,https://x.com/Michael_Liu93/status/1995495034444210664
2074101707236430271,2026-07-06 12:02:36,macro_cycle,宏观周期,2.09,0.9,0.04,🧠 核心思维,⭐ JEV精选,42,4,17,31690,"回应一下第一个点，虽然不是说这种技术指标就该刻舟求剑，但就结果上看，因为这轮宏观没有放水，BTC周期顶部确实没有不是hype顶。

图一是月线RSI
图二是MVRV

可以参考前几轮的看一下 https://t.co/KlFegIaRAb",2,images/2074101707236430271_0.png;images/2074101707236430271_1.jpg,https://x.com/Michael_Liu93/status/2074101707236430271
1936237849940312068,2025-06-21 01:40:51,altcoin_trading,二级山寨,2.08,0.87,0.83,🧠 核心思维,⭐ JEV精选,199,15,58,94892,行情走的挺不健康的，尤其是sol，4月初跌到95，出现超卖，反弹了近一倍然后继续派发，标准周期派发形态，可以参考下上轮。这里想赌是二探的可以110-120左右抄，但破了一定要快跑，如果100再破了大家可以彻底2025年歇逼出去旅游了😅 https://t.co/CHU69U1t9d,1,images/1936237849940312068_0.jpg,https://x.com/Michael_Liu93/status/1936237849940312068
1966856206410285391,2025-09-13 13:27:16,macro_cycle,宏观周期,2.06,0.82,0.05,🧠 核心思维,⭐ JEV精选,297,41,52,65991,"这周没好友来访，得了个清净的周六晚上盯盯盘整理下思路，趁着最近大家讨论降息后的仓位管理，也聊聊我对降息后市的看法是什么，以及我的操作。

先聊聊事实：
咱们刻舟求个剑，整理了一下过去50年共11轮美元降息周期里，降息后标普500的1个月、3个月、12个月表现（加密货币会跟着美股走）： https://t.co/32XTQ5I0wX",2,images/1966856206410285391_0.png;images/1966856206410285391_1.png,https://x.com/Michael_Liu93/status/1966856206410285391
